Transaction_ID,Customer_ID,Product_ID,Store_ID,Quantity,Price_per_unit,Discount,Transaction_Date,Payment_Method,Customer_Age,Customer_Gender,State,ZIP_Code,Product_Category,Loyalty_Card_Status,Review_Rating
TID000023,CUST5557,PROD539,STORE18,2.0,447.38,0.0,2022-09-07,Credit Card,,Male,New York,90210,Furniture,Active,3.0
TID000024,CUST1106,PROD438,STORE10,2.0,368.33,0.0,2022-02-04,Credit Card,,,Florida,73301,Furniture,Expired,1.0
TID000025,CUST3615,PROD497,STORE48,2.0,12.26,,2022-05-22,Cash,28.0,Male,California,90210,,,1.0
TID000026,CUST7924,PROD226,STORE11,3.0,131.35,10.0,2022-01-11,Gift Card,47.0,,California,10001,,Active,2.0
TID000027,CUST6574,PROD667,STORE14,1.0,326.44,15.0,2023-08-14,,,,,73301,Electronics,Active,2.0
TID000028,CUST5552,PROD340,STORE37,5.0,350.6,5.0,2023-11-17,Gift Card,53.0,,Florida,73301,Clothing,Inactive,5.0
TID000029,CUST3547,PROD299,STORE30,1.0,474.17,10.0,2022-05-18,Gift Card,29.0,Female,Florida,33101,Furniture,Inactive,4.0
TID000030,CUST4527,PROD430,STORE70,,135.5,15.0,2023-02-05,Gift Card,,Female,New York,33101,Furniture,Expired,4.0
TID000031,CUST6514,PROD830,STORE36,4.0,250.77,10.0,2022-11-08,Gift Card,68.0,,Texas,,,,1.0
TID000032,CUST2674,PROD721,STORE12,4.0,328.96,,2022-09-20,Credit Card,26.0,Male,Florida,90210,Clothing,,
TID000033,CUST2519,PROD606,STORE37,,118.83,,2023-09-10,Cash,,,,90210,Electronics,Expired,1.0
TID000034,CUST7224,PROD370,STORE26,1.0,304.52,5.0,2023-04-24,,,Female,,33101,Electronics,Expired,4.0
TID000035,CUST2584,PROD742,STORE49,1.0,361.88,20.0,2023-02-01,,60.0,Female,,,,Expired,3.0
TID000036,CUST6881,PROD786,STORE77,2.0,55.45,5.0,2022-01-10,Gift Card,37.0,Female,New York,,Electronics,Expired,
TID000037,CUST6635,PROD672,STORE32,4.0,420.15,20.0,2022-03-25,Credit Card,,Female,,33101,Furniture,Active,2.0
TID000038,CUST5333,PROD571,STORE66,5.0,420.67,,2022-04-15,Gift Card,,Female,California,73301,Clothing,Inactive,2.0
TID000039,CUST1711,PROD505,STORE48,1.0,225.22,20.0,2022-01-01,Cash,,,Florida,90210,Furniture,Active,1.0
TID000040,CUST8527,PROD660,STORE98,4.0,321.9,5.0,2022-11-07,Credit Card,68.0,Female,California,,Groceries,Active,1.0
TID000041,CUST9785,PROD107,STORE58,1.0,280.36,10.0,2023-03-09,Gift Card,,,,,Clothing,,4.0
TID000042,CUST3045,PROD483,STORE36,3.0,404.57,20.0,2022-09-20,Debit Card,,,Texas,90210,Electronics,Inactive,
TID000043,CUST7201,PROD803,STORE51,1.0,418.72,20.0,2023-05-15,Credit Card,,,Florida,73301,,Inactive,4.0
TID000044,CUST2291,PROD579,STORE26,4.0,246.57,15.0,2022-05-23,Credit Card,48.0,Female,Texas,73301,Electronics,,1.0
TID000045,CUST5803,PROD150,STORE97,5.0,413.33,20.0,2022-01-25,Cash,53.0,,New York,10001,Groceries,Inactive,5.0
TID000046,CUST6925,PROD890,STORE39,3.0,242.84,10.0,2022-06-22,Cash,33.0,,California,73301,Clothing,,5.0
TID000047,CUST4150,PROD290,STORE53,2.0,155.95,10.0,2022-01-11,Cash,,Male,,90210,Electronics,Inactive,5.0
TID000048,CUST2139,PROD348,STORE62,3.0,107.01,10.0,2023-05-11,Debit Card,28.0,,,,Furniture,,5.0
TID000049,CUST1750,PROD863,STORE20,4.0,464.04,10.0,2023-09-01,Credit Card,,Male,Texas,10001,Clothing,,
TID000050,CUST4733,PROD810,STORE24,1.0,148.67,10.0,2022-11-25,,,,,10001,Furniture,,
TID000051,CUST5741,PROD589,STORE81,5.0,327.07,0.0,2022-12-15,Cash,,Female,California,,Groceries,Active,2.0
TID000052,CUST2307,PROD967,STORE75,5.0,365.92,10.0,2023-09-28,Gift Card,,Male,,73301,Clothing,Inactive,
TID000053,CUST4814,PROD585,STORE98,5.0,178.57,0.0,2022-04-13,,,Female,Florida,90210,Furniture,Active,3.0
TID000054,CUST2654,PROD920,STORE29,5.0,389.24,10.0,2022-09-24,Credit Card,,Female,California,33101,Furniture,Active,2.0
TID000055,CUST7227,PROD848,STORE11,3.0,258.61,20.0,2023-08-06,Credit Card,28.0,Male,Florida,90210,Clothing,,5.0
TID000056,CUST5554,PROD190,STORE41,5.0,113.46,15.0,2023-06-14,Cash,53.0,Male,California,,Clothing,Expired,2.0
TID000057,CUST8428,PROD655,STORE79,2.0,24.5,,2023-04-13,Credit Card,39.0,,Florida,90210,Groceries,Active,1.0
TID000058,CUST6977,PROD371,STORE10,,39.54,20.0,2022-08-12,Credit Card,67.0,Female,New York,10001,Furniture,Expired,1.0
TID000059,CUST3664,PROD350,STORE97,1.0,41.41,0.0,2022-07-01,Cash,38.0,Male,Florida,73301,Electronics,,5.0
TID000060,CUST7065,PROD976,STORE64,5.0,381.12,10.0,2022-07-07,Debit Card,18.0,Male,Florida,73301,Groceries,Active,1.0
TID000061,CUST6820,PROD106,STORE96,3.0,343.28,20.0,2023-09-14,Cash,,,New York,73301,Groceries,Inactive,4.0
TID000062,CUST4432,PROD925,STORE84,1.0,103.61,0.0,2022-05-07,,,Female,,10001,Groceries,,5.0
TID000063,CUST5374,PROD757,STORE52,3.0,372.06,15.0,2023-12-21,Credit Card,50.0,Male,Texas,33101,,,2.0
TID000064,CUST2169,PROD202,STORE74,1.0,202.37,0.0,2023-02-12,Debit Card,37.0,Male,New York,90210,Groceries,Active,2.0
TID000065,CUST3803,PROD677,STORE95,2.0,46.34,15.0,2022-11-25,Credit Card,61.0,Female,New York,73301,Groceries,Expired,1.0
TID000066,CUST9751,PROD290,STORE62,2.0,198.89,15.0,2022-06-04,Credit Card,,Male,New York,73301,,,5.0
TID000067,CUST5010,PROD267,STORE27,,243.0,,2022-03-01,Gift Card,45.0,Female,Texas,90210,Electronics,Active,3.0
TID000068,CUST3677,PROD126,STORE94,5.0,497.49,20.0,2022-01-26,,,Male,California,73301,,Active,3.0
TID000069,CUST8573,PROD717,STORE18,4.0,16.9,,2023-09-06,Gift Card,64.0,Male,California,33101,Electronics,Active,
TID000070,CUST7216,PROD468,STORE81,4.0,15.87,5.0,2022-02-08,Cash,,Female,New York,,Electronics,Expired,
TID000071,CUST5422,PROD542,STORE52,1.0,34.78,10.0,2022-09-22,Cash,29.0,Male,New York,73301,Clothing,Expired,
TID000072,CUST4598,PROD600,STORE35,1.0,125.45,,2023-09-09,Credit Card,45.0,Female,Texas,33101,Groceries,Expired,1.0
TID000073,CUST6313,PROD347,STORE93,5.0,362.17,10.0,2022-03-05,Debit Card,,Male,Florida,90210,Groceries,Active,1.0
TID000074,CUST1916,PROD322,STORE95,5.0,190.15,20.0,2023-04-12,Cash,41.0,,Texas,33101,Furniture,,3.0
TID000075,CUST4752,PROD294,STORE18,5.0,449.68,,2023-10-07,Cash,33.0,,Texas,90210,Electronics,Inactive,
TID000076,CUST1525,PROD970,STORE23,,394.45,5.0,2023-03-19,Cash,,Female,California,,Electronics,Expired,1.0
TID000077,CUST6168,PROD936,STORE22,4.0,60.76,20.0,2023-03-16,Debit Card,50.0,Female,California,90210,Furniture,,5.0
TID000078,CUST7572,PROD247,STORE93,,121.97,5.0,2023-05-14,Gift Card,33.0,Female,New York,33101,Groceries,Active,1.0
TID000079,CUST5386,PROD806,STORE30,3.0,494.81,5.0,2022-01-24,Cash,,Female,Florida,,Clothing,Inactive,
TID000080,CUST2084,PROD823,STORE74,5.0,331.84,0.0,2022-09-17,Cash,,Male,California,33101,Furniture,Inactive,4.0
TID000081,CUST4456,PROD718,STORE20,3.0,241.9,20.0,2022-06-08,Credit Card,,Male,California,90210,Groceries,,5.0
TID000082,CUST6155,PROD815,STORE69,1.0,378.54,5.0,2023-02-01,Gift Card,,Male,New York,90210,Groceries,Expired,
TID000083,CUST4483,PROD590,STORE72,1.0,420.51,0.0,2022-10-08,Gift Card,31.0,Female,Texas,73301,Electronics,Expired,
TID000084,CUST9179,PROD317,STORE87,4.0,490.33,10.0,2023-05-04,Cash,,,,10001,Furniture,Active,
TID000085,CUST7482,PROD905,STORE13,1.0,180.17,20.0,2022-02-22,Cash,,Male,,33101,,Active,1.0
TID000086,CUST8517,PROD798,STORE36,3.0,460.16,0.0,2023-01-19,Gift Card,54.0,Male,Texas,10001,Furniture,Expired,2.0
TID000087,CUST3340,PROD236,STORE91,5.0,314.46,10.0,2023-03-09,Debit Card,46.0,Male,California,90210,Furniture,,3.0
TID000088,CUST5339,PROD315,STORE60,1.0,121.31,15.0,2023-06-05,Cash,68.0,Female,California,,Groceries,Expired,2.0
TID000089,CUST3287,PROD679,STORE64,2.0,407.12,20.0,2022-01-08,Credit Card,63.0,Male,Texas,90210,Groceries,Expired,2.0
TID000090,CUST5040,PROD981,STORE59,4.0,88.15,,2023-02-04,Cash,,Female,Florida,73301,,Inactive,4.0
TID000091,CUST9830,PROD514,STORE60,3.0,444.43,10.0,2023-02-09,Cash,,,,10001,,Inactive,5.0
TID000092,CUST5304,PROD396,STORE39,5.0,124.36,0.0,2022-10-15,Gift Card,21.0,Male,California,,Clothing,,4.0
TID000093,CUST8019,PROD365,STORE60,,126.28,20.0,2023-10-05,Gift Card,50.0,Male,California,90210,Groceries,Inactive,4.0
TID000094,CUST7543,PROD140,STORE93,4.0,332.75,,2022-01-17,Gift Card,,Female,,,Clothing,Inactive,3.0
TID000095,CUST6930,PROD290,STORE88,2.0,67.2,20.0,2022-02-11,Gift Card,,Male,,73301,,,4.0
TID000096,CUST4593,PROD989,STORE48,4.0,219.32,10.0,2022-06-10,Debit Card,,,Texas,90210,Groceries,Inactive,3.0
TID000097,CUST3266,PROD674,STORE71,2.0,434.03,0.0,2023-10-27,Gift Card,,Female,New York,33101,,Active,3.0
TID000098,CUST9348,PROD236,STORE32,,88.57,20.0,2022-04-13,,,Female,,73301,Groceries,Active,4.0
TID000099,CUST9085,PROD429,STORE74,3.0,418.63,10.0,2023-12-03,Cash,,Female,Texas,10001,Clothing,Inactive,4.0
TID000100,CUST2489,PROD345,STORE19,5.0,97.34,5.0,2023-07-28,Cash,29.0,Female,California,10001,Groceries,Inactive,3.0
TID000101,CUST1771,PROD881,STORE93,,68.55,10.0,2023-02-13,Credit Card,63.0,,Florida,73301,Clothing,,5.0
TID000102,CUST2796,PROD267,STORE41,,445.08,15.0,2022-10-16,Cash,,Male,Texas,90210,Furniture,,5.0
TID000103,CUST3504,PROD935,STORE30,1.0,306.39,10.0,2022-06-29,,,,California,73301,,Inactive,
TID000104,CUST3621,PROD504,STORE63,1.0,471.79,15.0,2022-08-05,Cash,,Female,New York,,,,
TID000105,CUST7916,PROD923,STORE51,2.0,227.89,20.0,2023-03-04,,,,Florida,73301,,Active,4.0
TID000106,CUST2040,PROD571,STORE84,3.0,320.13,,2022-10-17,,50.0,Female,California,33101,Furniture,,3.0
TID000107,CUST7304,PROD485,STORE75,5.0,234.67,15.0,2023-12-31,,36.0,,California,73301,Groceries,,4.0
TID000108,CUST7252,PROD732,STORE45,5.0,69.38,20.0,2023-01-15,Credit Card,52.0,Male,New York,90210,,,4.0
TID000109,CUST8668,PROD980,STORE53,4.0,304.11,15.0,2023-01-08,Cash,,Female,,33101,Clothing,,5.0
TID000110,CUST9669,PROD707,STORE11,5.0,373.79,20.0,2023-02-01,Debit Card,24.0,Female,New York,,Groceries,Expired,4.0
TID000111,CUST5119,PROD768,STORE34,3.0,13.05,5.0,2022-06-08,Credit Card,,,,73301,Furniture,,3.0
TID000112,CUST1188,PROD291,STORE35,5.0,359.36,15.0,2022-12-31,Cash,,,New York,73301,,Inactive,5.0
TID000113,CUST2876,PROD364,STORE97,,168.5,20.0,2022-09-22,Gift Card,,,New York,90210,Electronics,Expired,2.0
TID000114,CUST9797,PROD269,STORE72,2.0,424.18,15.0,2022-05-20,Cash,41.0,,Florida,90210,Groceries,Expired,
TID000115,CUST5371,PROD549,STORE88,3.0,39.52,5.0,2022-06-14,Credit Card,,,California,33101,Electronics,Expired,3.0
TID000116,CUST6573,PROD584,STORE16,2.0,390.57,10.0,2023-02-09,Credit Card,,Male,,33101,Electronics,Expired,3.0
TID000117,CUST2827,PROD342,STORE32,,286.44,10.0,2022-12-27,,,Male,Texas,90210,Furniture,Expired,3.0
TID000118,CUST5808,PROD736,STORE95,2.0,304.66,20.0,2022-01-25,Credit Card,,,New York,73301,Furniture,,3.0
TID000119,CUST8123,PROD826,STORE94,5.0,425.02,5.0,2023-02-22,Gift Card,,,Texas,90210,Electronics,Active,4.0
TID000120,CUST3591,PROD263,STORE86,,135.92,0.0,2022-08-16,Gift Card,,,,90210,Electronics,,2.0
TID000121,CUST8433,PROD329,STORE45,,10.59,,2022-02-08,Debit Card,20.0,,New York,73301,Groceries,,2.0
TID000122,CUST1053,PROD838,STORE13,4.0,390.27,10.0,2022-11-07,Cash,63.0,,Florida,73301,,Inactive,4.0
TID000123,CUST5315,PROD647,STORE38,5.0,289.79,0.0,2022-09-17,Credit Card,67.0,Male,California,73301,Clothing,Expired,4.0
TID000124,CUST9201,PROD988,STORE72,,179.23,20.0,2022-04-06,Cash,,Male,California,73301,,Inactive,5.0
TID000125,CUST3927,PROD446,STORE56,4.0,236.59,0.0,2023-02-18,Cash,57.0,,,90210,Furniture,Inactive,3.0
TID000126,CUST9317,PROD767,STORE37,,420.44,,2023-04-23,,,Female,,,,Inactive,5.0
TID000127,CUST2743,PROD244,STORE54,4.0,286.29,,2023-10-29,,,,New York,73301,Clothing,Inactive,3.0
TID000128,CUST5889,PROD147,STORE91,1.0,182.35,15.0,2022-06-27,Gift Card,54.0,Female,California,90210,Furniture,Expired,3.0
TID000129,CUST9317,PROD239,STORE98,3.0,193.02,0.0,2023-06-16,Debit Card,,Male,California,33101,Electronics,Expired,5.0
TID000130,CUST4258,PROD344,STORE35,3.0,449.28,10.0,2022-10-26,Cash,48.0,Male,New York,10001,Clothing,Inactive,3.0
TID000131,CUST3504,PROD802,STORE95,,180.7,15.0,2023-08-20,,,Male,Texas,73301,Furniture,Inactive,5.0
TID000132,CUST7126,PROD286,STORE23,2.0,486.34,5.0,2022-11-11,Credit Card,18.0,Female,Texas,33101,Furniture,,3.0
TID000133,CUST3646,PROD122,STORE94,,472.36,15.0,2022-12-16,Credit Card,38.0,Male,New York,90210,Electronics,,2.0
TID000134,CUST9837,PROD689,STORE35,5.0,331.37,0.0,2022-08-11,Cash,,,Texas,10001,Furniture,,1.0
TID000135,CUST9689,PROD196,STORE29,,380.53,5.0,2023-01-06,Gift Card,,Female,,,Groceries,Expired,1.0
TID000136,CUST1009,PROD357,STORE42,3.0,223.64,20.0,2023-10-20,Credit Card,32.0,Female,,33101,,,5.0
TID000137,CUST6310,PROD805,STORE53,,109.39,5.0,2022-05-20,Credit Card,50.0,,California,90210,Clothing,,3.0
TID000138,CUST9005,PROD100,STORE26,5.0,445.04,20.0,2023-10-05,Credit Card,,,Texas,,Furniture,,1.0
TID000139,CUST1319,PROD166,STORE98,5.0,114.99,10.0,2022-12-04,Debit Card,,,New York,90210,Groceries,Expired,1.0
TID000140,CUST2832,PROD533,STORE67,3.0,446.89,10.0,2023-02-22,Gift Card,57.0,Male,Florida,90210,Furniture,Inactive,2.0
TID000141,CUST6947,PROD731,STORE98,4.0,76.81,,2023-10-22,Debit Card,53.0,Male,New York,73301,Furniture,Inactive,3.0
TID000142,CUST6038,PROD293,STORE52,1.0,282.6,20.0,2023-11-15,Gift Card,,Female,Florida,,,Active,
TID000143,CUST4923,PROD333,STORE63,5.0,152.6,,2022-04-12,Credit Card,52.0,Female,New York,73301,Groceries,Expired,
TID000144,CUST1949,PROD879,STORE67,3.0,361.45,20.0,2022-02-03,Debit Card,45.0,Female,Florida,33101,Electronics,Expired,5.0
TID000145,CUST4946,PROD917,STORE22,4.0,58.13,,2022-08-28,Credit Card,,,Texas,10001,Groceries,,1.0
TID000146,CUST2290,PROD279,STORE84,,274.69,5.0,2023-01-21,,,Male,California,73301,Groceries,,1.0
TID000147,CUST2403,PROD628,STORE90,,369.53,10.0,2023-09-05,Debit Card,25.0,Male,Texas,90210,Clothing,Expired,2.0
TID000148,CUST8962,PROD385,STORE53,4.0,112.7,5.0,2022-04-12,Gift Card,47.0,Female,Texas,33101,Clothing,Expired,4.0
TID000149,CUST2133,PROD400,STORE16,1.0,51.21,5.0,2023-12-26,Cash,,,California,33101,Electronics,Active,5.0
TID000150,CUST9727,PROD241,STORE41,1.0,125.22,15.0,2023-02-20,Credit Card,18.0,,California,33101,,Expired,2.0
TID000151,CUST3060,PROD317,STORE16,4.0,415.04,5.0,2023-11-21,Cash,60.0,Male,Florida,90210,Clothing,Active,1.0
TID000152,CUST3103,PROD404,STORE57,1.0,383.76,5.0,2022-05-12,Credit Card,,,,90210,Groceries,,3.0
TID000153,CUST8787,PROD606,STORE61,5.0,442.59,20.0,2023-06-09,Gift Card,,Male,Florida,73301,Furniture,Expired,3.0
TID000154,CUST3705,PROD775,STORE74,1.0,325.03,15.0,2023-07-16,Debit Card,62.0,Male,,73301,Clothing,,2.0
TID000155,CUST5342,PROD172,STORE68,,148.21,15.0,2023-04-01,Credit Card,22.0,Male,Florida,33101,Clothing,,3.0
TID000156,CUST9645,PROD719,STORE81,,459.9,15.0,2022-12-19,Credit Card,50.0,Male,Florida,90210,Clothing,Active,2.0
TID000157,CUST7932,PROD705,STORE17,,312.54,10.0,2022-02-06,Debit Card,68.0,Female,,10001,,Active,2.0
TID000158,CUST4470,PROD637,STORE68,,190.81,0.0,2023-11-10,Gift Card,55.0,Female,Texas,,Groceries,,3.0
TID000159,CUST9835,PROD252,STORE18,1.0,98.99,15.0,2023-06-26,Cash,45.0,Female,Texas,10001,,Expired,4.0
TID000160,CUST4295,PROD722,STORE26,2.0,377.27,5.0,2023-03-17,Credit Card,,Female,New York,33101,Electronics,Active,4.0
TID000161,CUST6107,PROD109,STORE99,3.0,300.14,,2022-12-31,,,Female,Florida,10001,,,4.0
TID000162,CUST7537,PROD918,STORE60,2.0,342.85,,2023-11-26,Credit Card,,,New York,,Electronics,,4.0
TID000163,CUST7118,PROD788,STORE52,2.0,292.76,15.0,2022-02-10,Cash,69.0,Female,,33101,,Active,1.0
TID000164,CUST8177,PROD594,STORE29,4.0,436.06,,2023-02-27,Gift Card,,,,,Electronics,Expired,2.0
TID000165,CUST9479,PROD439,STORE46,2.0,247.73,,2022-07-01,Cash,67.0,,,10001,Electronics,Active,3.0
TID000166,CUST8397,PROD939,STORE89,3.0,95.4,20.0,2023-08-27,Gift Card,19.0,,California,73301,,,5.0
TID000167,CUST2982,PROD428,STORE47,5.0,89.05,5.0,2023-06-05,Credit Card,,,California,90210,Furniture,Active,2.0
TID000168,CUST5061,PROD982,STORE79,2.0,386.04,5.0,2022-11-27,Gift Card,27.0,,New York,10001,Electronics,,3.0
TID000169,CUST4681,PROD186,STORE87,1.0,181.0,,2023-11-01,Credit Card,,Female,Texas,,Clothing,Active,
TID000170,CUST2049,PROD436,STORE19,,29.86,,2023-08-18,,,Female,Texas,33101,Groceries,,3.0
TID000171,CUST6539,PROD962,STORE74,4.0,420.04,10.0,2022-05-24,Credit Card,55.0,Female,New York,10001,Groceries,,3.0
TID000172,CUST1344,PROD375,STORE55,2.0,90.25,10.0,2022-08-03,Gift Card,47.0,Male,Florida,90210,Groceries,,
TID000173,CUST4770,PROD806,STORE30,2.0,181.81,10.0,2023-10-07,Debit Card,41.0,,Florida,73301,Groceries,,2.0
TID000174,CUST4608,PROD450,STORE86,3.0,299.03,20.0,2022-05-23,Gift Card,37.0,Male,California,33101,Electronics,,3.0
TID000175,CUST1117,PROD229,STORE74,1.0,46.48,0.0,2023-09-18,Gift Card,,,,10001,Clothing,Inactive,3.0
TID000176,CUST2163,PROD498,STORE40,3.0,493.82,10.0,2023-05-16,Credit Card,46.0,Female,Florida,90210,Furniture,,2.0
TID000177,CUST1964,PROD158,STORE74,,8.49,0.0,2023-01-17,Gift Card,68.0,Female,Florida,10001,,,
TID000178,CUST4750,PROD553,STORE74,1.0,354.63,,2022-01-11,Debit Card,31.0,,,33101,Clothing,Expired,3.0
TID000179,CUST2104,PROD431,STORE31,3.0,115.29,,2022-05-19,Cash,51.0,Female,,90210,Groceries,,1.0
TID000180,CUST1514,PROD546,STORE10,3.0,320.71,20.0,2023-08-28,Debit Card,38.0,,New York,,Groceries,Active,
TID000181,CUST6413,PROD682,STORE19,5.0,62.95,10.0,2023-10-05,,50.0,Male,California,90210,Clothing,Active,4.0
TID000182,CUST2160,PROD806,STORE51,,124.69,10.0,2022-04-25,Credit Card,21.0,,,33101,Clothing,Active,5.0
TID000183,CUST9423,PROD723,STORE25,5.0,242.53,20.0,2022-01-02,,,,Texas,,,Inactive,3.0
TID000184,CUST4899,PROD737,STORE45,,154.33,,2023-02-07,Debit Card,51.0,Male,New York,73301,Furniture,,2.0
TID000185,CUST5562,PROD171,STORE85,4.0,249.26,,2023-09-10,Cash,,,,10001,,,1.0
TID000186,CUST8953,PROD306,STORE69,4.0,126.57,15.0,2023-05-15,Gift Card,18.0,Male,,33101,Electronics,Active,2.0
TID000187,CUST4510,PROD664,STORE66,2.0,178.53,5.0,2022-09-29,,30.0,,Florida,,Electronics,Expired,
TID000188,CUST9834,PROD326,STORE73,1.0,487.65,5.0,2022-09-07,Cash,,Male,New York,90210,Groceries,Inactive,3.0
TID000189,CUST3167,PROD227,STORE62,,309.85,20.0,2023-02-23,Credit Card,,Female,Texas,33101,Furniture,,2.0
TID000190,CUST8744,PROD130,STORE44,,70.38,0.0,2022-10-26,Gift Card,32.0,,New York,90210,,Expired,5.0
TID000191,CUST4981,PROD103,STORE83,3.0,246.57,5.0,2023-08-15,Credit Card,55.0,Male,,73301,Groceries,Inactive,2.0
TID000192,CUST8749,PROD833,STORE21,,121.94,20.0,2023-02-02,,,Female,,,Groceries,Expired,2.0
TID000193,CUST7669,PROD952,STORE41,2.0,22.32,15.0,2023-04-19,,,,Texas,10001,Clothing,Expired,3.0
TID000194,CUST4119,PROD502,STORE61,5.0,295.42,15.0,2023-05-19,Credit Card,70.0,Male,California,,Groceries,,
TID000195,CUST2545,PROD907,STORE20,4.0,479.85,15.0,2022-07-30,Debit Card,,Male,California,,,Active,4.0
TID000196,CUST2588,PROD391,STORE62,1.0,194.07,10.0,2022-03-26,Credit Card,56.0,Male,Texas,,Electronics,Inactive,2.0
TID000197,CUST8062,PROD351,STORE55,4.0,118.53,5.0,2022-12-17,,29.0,,California,10001,Clothing,Inactive,2.0
TID000198,CUST6804,PROD318,STORE66,1.0,387.4,10.0,2023-09-29,Debit Card,,Male,New York,10001,Furniture,Inactive,
TID000199,CUST7939,PROD789,STORE62,1.0,97.31,,2023-03-08,Gift Card,,,New York,73301,,Expired,4.0
TID000200,CUST7735,PROD258,STORE54,3.0,72.9,,2023-07-13,Debit Card,28.0,Female,Florida,,Electronics,Inactive,3.0
TID000201,CUST8651,PROD288,STORE27,3.0,330.15,0.0,2022-07-25,Cash,22.0,Female,Florida,,,Expired,5.0
TID000202,CUST1887,PROD892,STORE75,2.0,305.57,,2022-06-05,Credit Card,,,New York,,Clothing,,5.0
TID000203,CUST2612,PROD876,STORE31,1.0,452.46,10.0,2022-11-14,Debit Card,46.0,Male,Florida,73301,Clothing,Expired,
TID000204,CUST1993,PROD542,STORE27,1.0,245.46,15.0,2022-02-02,Debit Card,47.0,Female,,10001,Furniture,,2.0
TID000205,CUST7596,PROD740,STORE59,,386.36,15.0,2023-06-30,Gift Card,,Male,Florida,33101,Groceries,,5.0
TID000206,CUST6559,PROD842,STORE23,5.0,276.92,0.0,2022-05-29,,,,,90210,,Inactive,2.0
TID000207,CUST2790,PROD897,STORE82,5.0,48.89,15.0,2022-03-16,Cash,,Male,,,Groceries,Inactive,4.0
TID000208,CUST5073,PROD254,STORE93,5.0,474.58,,2023-07-21,Debit Card,34.0,Female,New York,,Furniture,Inactive,4.0
TID000209,CUST4139,PROD231,STORE51,3.0,51.83,0.0,2022-03-29,Credit Card,34.0,Female,,90210,Electronics,Active,2.0
TID000210,CUST4116,PROD604,STORE94,5.0,77.4,0.0,2022-07-17,Gift Card,,Male,Florida,10001,Furniture,Inactive,2.0
TID000211,CUST9786,PROD560,STORE44,3.0,8.89,15.0,2022-05-02,Credit Card,35.0,Female,California,,Electronics,Active,2.0
TID000212,CUST8350,PROD578,STORE82,5.0,486.16,10.0,2022-11-28,Credit Card,,,Florida,73301,Clothing,Expired,5.0
